title,slug,abstract
Drop the docs and embrace the model with Gaphor,fosdem-2024-2542-drop-the-docs-and-embrace-the-model-with-gaphor,"<p>Napoleon reportedly said that a good sketch is better than a long speech. This might make him the first practitioner of model based system engineering. MBSE is an approach to system engineering where document based communication is exchanged for building a domain model. This is typically done through graphical languages like UML or <a href=""https://sysml.org/"">SysML</a>. A model gives us the opportunity to query it, run tests against it and verify it's validity.</p>
<p>This talk will demonstrate how a model can be built with <a href=""https://gaphor.org/"">Gaphor</a> and how it's integration with the wider Python ecosystem can help us to prevent mistakes. It won't prevent you from attempting to invade the Russian Empire in wintertime but it will help you make sure your system architecture is sane.</p>"
Embeddable code playgrounds for fun and profit,fosdem-2024-2125-embeddable-code-playgrounds-for-fun-and-profit,"<p>According to the popular classification, there are four document types: tutorials, how-to guides, technical references, and explanations. Often these documents include static code examples to help the reader understand the material.</p>
<p>We believe that making these code examples interactive benefits both the reader and the author. To prove our point, we'll show how to make any type of documentation interactive - from programming languages to databases, frameworks and tools, and even individual packages.</p>
<p>We will demonstrate our approach using the open source tooling (https://github.com/nalgeon/codapi).</p>"
Experimenting with AI and LLM to make docs searchable through a chat application,fosdem-2024-2379-experimenting-with-ai-and-llm-to-make-docs-searchable-through-a-chat-application,"<p>ChatGPT is considered to bring the end to search engines. But it's also a pretty good liar, just making stories up. As chat-based search engines, powered by machine learning and artificial intelligence, use an LLM (Large Language Model), they have no other knowledge than an algorithm that predicts the most likely word that should follow the previous ones. On top of that, these LLMs are not up-to-date, as they are generated with a ""snapshot"" of available data at a specific date when the LLM is being developed.</p>
<p>But how do we cope with the challenge that our managers and end-users want us to provide a chat-based user interface that produces correct results?</p>
<p>At Azul, all our public knowledge about Java and the products we deliver is combined on docs.azul.com. It's a ""classic documentation"" website, generated as a static website based on AsciiDoc files. As Java lovers, we experimented with several free, open-source tools to make our docs chat-searchable. Join this session to learn if we can dump traditional docs and enter the chat age...</p>"
"How Tansu, a Reactive Agnostic Library, Simplifies Widget Creation for AgnosUI",fosdem-2024-2038-how-tansu-a-reactive-agnostic-library-simplifies-widget-creation-for-agnosui,"<p>This presentation explores Tansu, an open-source library that revolutionizes widget state management through signal implementation. We also introduce AgnosUI, our open-source, framework-agnostic, headless, and Bootstrap libraries created using Tansu. We will delve into the specifics of how Tansu facilitates widget creation and the unique features of AgnosUI.</p>"
"calc with calculang, a language for calculations",fosdem-2024-2617-calc-with-calculang-a-language-for-calculations,"<p>calculang is a language for calculations, pure-functional in concept and compiles to Javascript.</p>
<p>In this talk I present the language and propose some practical and technical merits, including:
- facilitating transparency and sharing numbers along with calculations/workings
- specialized tooling e.g. visualization API for numbers
- flexibility and maintainability for calculations (separation of concerns plus specific language features)</p>
<p>I'll discuss these using examples and applications from the new calculang website.</p>
<p>calculang is free software and currently available <a href=""https://github.com/calculang/calculang"">on GitHub</a>. Updates <a href=""https://fosstodon.org/@calculang"">@calculang</a> on Fosstodon.</p>"
Your web app is taking up too much RAM. Let's fix it!,fosdem-2024-2722-your-web-app-is-taking-up-too-much-ram-let-s-fix-it-,"<p>We've all seen the memes about Google Chrome devouring all the available RAM in your laptop. Is that only due to how the browser works or is it also our fault as web apps developers? In fact, modern JS apps are becoming increasingly complicated, so their compute and memory requirement are rising as well, with some famous websites even taking up entire gigabytes of memory. This does not only fill up the memory of your users devices, but can also cause crashes and performance drops. How do we monitor if that's the case, and how can we fix it? This talk will shed some light on the dark art of memory allocations and profiling, showing how some data structures and some JS frameworks are less efficient than others. Also, what are the tools that are available to measure it, such as the Chrome Memory Profiler and MemLab, showcasing some custom tooling I've built around those two.</p>"
"Recycle, Reuse, Rebuild: Transformative Tactics for Turning your Brownfields Green",fosdem-2024-3289-recycle-reuse-rebuild-transformative-tactics-for-turning-your-brownfields-green,"<p>In early 2023, having just started as Director of Engineering at a US startup, I was immediately faced with a fascinating challenge: a legacy technology landscape resembling a Rube Goldberg machine—a diverse mix of tools and systems. Join me in 'Recycle, Reuse, Rebuild: Transformative Tactics for Turning Your Brownfields Green' as we navigate the intricacies of transforming this intricate system. I'll share experiences, guide you through my decision-making process, and impart valuable lessons learned.</p>
<h3>Unlocking Transformation</h3>
<p>Explore the challenges of leveraging open source tools, particularly those resistant to customization. We'll address the common temptation to 'burn it all down' and start anew, emphasizing the strategic middle path of transformation.</p>
<h3>Navigating JavaScript Evolution</h3>
<p>Discover how to plan for loosely coupled systems, decide when to repair or rebuild, and strike the right balance between open source and custom solutions.</p>
<h3>Empower Your Development</h3>
<p>This isn't just about strategies; it's a dynamic conversation aimed at empowering you to transform your brownfields into greener, more sustainable JavaScript landscapes.</p>
<p>This session will be informative and fun for anyone who's ever confronted the joys of working with legacy code.</p>"
Unraveling JavaScript's Heart: Mastering the Event Loop for Peak Performance,fosdem-2024-2890-unraveling-javascript-s-heart-mastering-the-event-loop-for-peak-performance,"<p>Join Antoine Pairet, CTO of Rosa, as he leads a deep dive into the core of JavaScript performance: the event loop. This session will demystify how JavaScript handles asynchronous operations, offering insights into optimizing your code for maximum efficiency. Discover the secrets behind event-driven programming, learn best practices for avoiding common pitfalls, and explore advanced techniques to enhance your applications' responsiveness and speed.</p>"
The Biome toolchain,fosdem-2024-2563-the-biome-toolchain,"<p>Biome provides fast error-resilient IDE-ready formatters and linters for JavaScript, TypeScript, JSX, and JSON. It scores 96% compatibility with the Prettier test suite and implements more than 180 linter rules from ESLint, TypeScript ESLint, and others. In this talk I will introduce the unique features of Biome and how I improved the Biome's semantic model to support TypeScript. This will lead us to understand:</p>
<ul>
<li>What is a semantic model and how TypeScript types coexist and interact with JavaScript values?</li>
<li>How to achieve top-notch IDE support using an error-resilient parsers and Concrete Syntax Trees?</li>
</ul>"
Staying Ahead of the Game: JavaScript Security,fosdem-2024-2779-staying-ahead-of-the-game-javascript-security,"<p>In this talk, I will cover the fundamentals of JavaScript security and provide actionable insights and best practices for safeguarding web applications built with modern frameworks like React, Vue and Angular!</p>
<p>In addition to that, I will be sharing the methodology that we've applied to secure GitLab codebase, increasing our frontend security posture, and sharing the real-world experiences and lessons learned. </p>
<p>Attendees will leave with a better understanding of how to stay ahead of the game when it comes to JavaScript security, and with practical steps they can take to enhance their own security practices.</p>"
Codebase Conquest: How Nx Turbocharged Our React Workflow,fosdem-2024-2540-codebase-conquest-how-nx-turbocharged-our-react-workflow,"<p>In this talk, I'll share my firsthand experience in leading the migration of Hasura's substantial React codebase to Nx, a journey marked by strategic decisions and innovative solutions. We'll explore why Nx emerged as the preferred choice over other tools, delving into its unique advantages for our project needs. I'll also walk you through our approach to executing this complex migration seamlessly, ensuring uninterrupted development workflow for our team. The session will highlight the tangible benefits we reaped from this transition, including drastic improvements in build times and overall development efficiency. Join me to learn about the challenges, decisions, and triumphs of transforming a large-scale React project with Nx, offering insights and inspiration for your own technology endeavors.</p>"
Web Performance: Leveraging the Qwik Framework to Meet Google's Core Web Vitals,fosdem-2024-1713-web-performance-leveraging-the-qwik-framework-to-meet-google-s-core-web-vitals,"<p>In this talk, we'll examine why the Qwik framework strategically aligns with Google's Core Web Vitals. We'll explore how the Qwik framework delivers the minimal time-to-interactive for websites by utilizing the concept of Resumability as an efficient alternative to hydration.</p>
<p>Qwik is a framework created by the creator of Angular, Misko Hevery, Qwik comes with a clear goal: achieving top performance, 0 javascript, pure HTML and great DX. Its philosophy is clear: make the fastest possible time-to-interactive. The framework delays the invocation of javascript as much as possible and invokes it only when it is needed. </p>
<p>Participants will learn how to enhance loading performance and interactivity, which are among the factors known as Core Web Vitals, the key metrics that Google uses in its ranking algorithm. In this session, we will provide a comprehensive overview and understanding of LCP (Largest Contentful Paint), FID (First Input Delay), and CLS (Cumulative Layout Shift).</p>
<p>By the end of this talk, attendees will possess the knowledge necessary to build performant and scalable websites.
In this talk I will give all what a developper need to get into Qwik Framework, also I will explain why developers should be aware of performance and why they will get a better DX using Qwik.
Participants will learn how to enhance loading performance and interactivity, which are among the factors known as Core Web Vitals, the key metrics that Google uses in its ranking algorithm. In this session, we will provide a comprehensive overview and understanding of LCP (Largest Contentful Paint), FID (First Input Delay), and CLS (Cumulative Layout Shift).
After this talk developers will have the ability to compare other frameworks and do the best choice for their use case.</p>"
Can we simplify charting libraries?,fosdem-2024-2319-can-we-simplify-charting-libraries-,"<p>Creating charting libraries might not be that hard (big mistake). I accepted the challenge for MUI to create @mui/x-charts.</p>
<p>After 6 months on this topic, I propose to discuss what makes charting libraries so special compared to other UI elements. What are the current solutions, and what could we try to improve the developer experience.</p>
<p>Hope that after this talk you will better understand how your charting library thinks.</p>"
JS Runtimes war,fosdem-2024-2466-js-runtimes-war,"<p>Remember the browser wars? Today the situation seems to be calmer, but the conflict has moved to the server side. And Javascript always gets in the middle.</p>
<p>Node.js, Deno, and Bun are three popular JavaScript runtimes that offer a variety of features and benefits. In this talk, we will compare these three runtimes in terms of their performance, security, features, and tooling.</p>"
MessageFormat: The future of i18n on the web,fosdem-2024-2832-messageformat-the-future-of-i18n-on-the-web,"<p>Internationalization in JavaScript and on the web platform is very complicated, but also vastly important for us developers in order to build accessible and intelligible interfaces. Thankfully, Unicode Consortium's MessageFormat working group and TC39 have been hard at work standardizing the next generation of i18n tooling that aims to unify analogous non-standard tools in use today while approaching this problem from a fresh perspective.</p>
<p>Join me along this tour of i18n in JavaScript, discover some of the newest additions to the toolkit and learn about the ongoing MessageFormat proposal and how it aims to radically improve the developer experience.</p>"
Cryptography against AI: Deepfake resistant WebRTC videocalls,fosdem-2024-2288-cryptography-against-ai-deepfake-resistant-webrtc-videocalls,"<p>With the surge of AI how do you know if the people on the other side of a call are genuine. In this talk, we'll build a simple WebRTC client/server application that uses the <a href=""https://developer.mozilla.org/en-US/docs/Web/API/SubtleCrypto"">subtle crypto</a> WebAPI (available natively in browsers and in Node.js) to authenticate peers using simple elliptic curve digitally signed challenges.
We can further build upon those concepts to use end-2-end encrypted applications.</p>"
All Things Astro,fosdem-2024-2649-all-things-astro,"<p>Astro 4 has just been released and brought some amazing new features with it.
In this talk, we’ll take a look at some of the newly released features in Astro 4 and how 2023 was such a crazy &amp; amazing year for Astro.</p>
<p>We'll dive deeper in some Astro concepts, like Islands architecture, view transitions, and how they changed the future of website development.</p>
<p>Of course, we'll do some live coding and have some fun. After that, let's take a look at what’s coming next for Astro.</p>"
Better Bee Be Better: spot more bugs than TS with less than JS,fosdem-2024-2186-better-bee-be-better-spot-more-bugs-than-ts-with-less-than-js,"<p>In this presentation, I will showcase a minimalistic toy programming language<a href=""https://www.bee-lang.org/"">^1</a> that I’ve been working on time to time over the past year.</p>
<p>The Bee catchphrase is: a language that is <strong>easy to learn</strong> and helps you write <strong>bug-free programs</strong>. By this, I mean a language with syntax and semantics that have fewer corner cases and traps than JavaScript, and with user-defined dependent types that can spot errors TypeScript miss.</p>
<p>This might sound ambitious, but in this talk, I aim to demonstrate that writing a compiler from scratch isn't that hard, with the good tricks, and well-defined abstractions.</p>"
Who's testing the tests? Mutation testing with StrykerJS,fosdem-2024-1683-who-s-testing-the-tests-mutation-testing-with-strykerjs,"<p>Have you ever wondered: <em>""Who's testing the tests""</em>? Of course, tests are only valuable if they catch bugs, but how would one validate that? Well, let me tell you about mutation testing!</p>
<p>Mutation testing is the act of <em>testing your tests by verifying that they catch bugs</em>. Of course, you can do this manually by inserting bugs and running the tests, but a mutation testing framework can do this for you!</p>
<p>Join me and learn the basics of mutation testing and how to use StrykerJS, the mutation testing framework for JavaScript and friends. At the end of this talk, you'll be the one who is testing your tests, and it won't even cost you much time!</p>"
Exploring the Future of Real-Time Communication with WebCodecs and WebTransport,fosdem-2024-3127-exploring-the-future-of-real-time-communication-with-webcodecs-and-webtransport,"<p>Real-time communication (RTC) is a fundamental building block of modern web applications, powering features like video conferencing, collaborative editing, and online gaming. Open-source technologies have played a crucial role in driving the development and adoption of RTC, offering developers flexibility and control. However, existing RTC solutions often face limitations in performance, flexibility, and interoperability, hindering the full potential of web development.</p>
<p>This talk delves into the exciting world of WebCodecs and WebTransport, two emerging technologies poised to revolutionize the future of RTC. We'll explore the core concepts of WebCodecs, including media frame encoding and decoding, and unveil how WebTransport provides a reliable and efficient transport mechanism for real-time data exchange, leveraging open-source libraries like <code>quic-go</code> or <code>quinn</code>.</p>
<p>Through a compelling live demo, we'll showcase the power of this innovative combination. Witness video captured directly in the browser, encoded using WebCodecs and transmitted over WebTransport using open-source libraries. On another tab, the received frames will be decoded and rendered in real-time with the canvas API. This hands-on demonstration will vividly illustrate the potential of WebCodecs and WebTransport for building next-generation open-source RTC applications with unparalleled performance and versatility.</p>
<p>Highlights:</p>
<ul>
<li>Gain insights into the open-source RTC landscape and its challenges.</li>
<li>Discover the capabilities of WebCodecs for media frame encoding and decoding.</li>
<li>Learn how WebTransport empowers efficient real-time data transfer, utilizing open-source libraries like <code>quic-go</code> or <code>webtransport-quinn</code>.</li>
<li>Experience a live demo showcasing video capture, encoding, transmission, and decoding using WebCodecs and WebTransport.</li>
<li>Explore the future of open-source RTC and how WebCodecs and WebTransport shape its evolution.</li>
</ul>"
Bridging Open Protocols: XMPP and ActivityPub Gateway via Libervia,fosdem-2024-2857-bridging-open-protocols-xmpp-and-activitypub-gateway-via-libervia,"<p><a href=""https://libervia.org"">Libervia</a> is an universal communication ecosystem that extends the use of XMPP far beyond instant messaging, incorporating features such as <strong>microblogging, direct messages, calendar events, A/V calls,</strong> and more.</p>
<p>A significant feature is its role as a server component, which has facilitated the implementation of a <strong>XMPP &lt;=&gt; ActivityPub gateway</strong>. This gateway enables seamless interaction between two key open protocols.</p>
<p>In this session, we'll explore the <strong>architecture</strong> of this gateway, detailing how it facilitates communication between XMPP and ActivityPub. We'll delve into the intricacies of protocol mapping and discuss how Libervia integrates features such as <strong>microblogging, reactions, likes/favorites, mentions,</strong> and <strong>calendar events</strong> across these platforms. The talk is aimed at providing a clear understanding of how Libervia contributes to the evolution of open communication technologies.</p>"
Shig: distribute and clone live streams among Fediverse instances,fosdem-2024-1907-shig-distribute-and-clone-live-streams-among-fediverse-instances,"<p>Shig is a federated live stream broadcasting service designed to distribute live streams among cross-domain Fediverse instances on the backend side via WebRTC. The service has an ActivityPub implementation and clones the stream on the backend side. Shig is designed using the WHIP/WHEP approach for both incoming and outgoing streams, eliminating the necessity for an additional Signal Server. The ""cloning"" of live streams across domain boundaries enables different kinds of live video content distribution, as well as interactions with live streams, such as multi-guest streaming.</p>
<p>Links: 
https://github.com/shigde/
https://shig.de
https://mastodon.social/@shig</p>
<p>Docu:
https://github.com/shigde/sfu/blob/main/docs/README.md
https://github.com/shigde/sfu/blob/main/docs/use-cases.md</p>"
Getting AV1/SVC to work in the Janus WebRTC Server,fosdem-2024-3000-getting-av1-svc-to-work-in-the-janus-webrtc-server,"<p>AV1 is an open and royalty free codec, recently designed within the context of the Alliance for Open Media (AOMedia). It was specifically designed for use over the Internet, and was built with Scalable Video Coding (SVC) functionality built in the specification. This makes it a particularly interesting codec to use in WebRTC applications of different kinds, from web conferencing to streaming and more.</p>
<p>This presentation will cover how AV1 is used on top of RTP, how SVC is signalled and used within the context of an ad-hoc (and pretty convoluted) RTP extension, and the efforts I had to make to get all that to work in the Janus WebRTC Server. If time permits, I'll show a brief demo of how it works too.</p>"
Building open source telephone agents using LLMs,fosdem-2024-3609-building-open-source-telephone-agents-using-llms,"<p>This talk is about our experience building LLM based telephone agents on top of open source telephony platforms.
We will detail the issues and challenges in the real time media processing, STT, TTS and large language model handling that were discovered whilst developing the <a href=""https://github.com/aplisay/llm-agent"">llm-agent</a> server code base and <a href=""https://llm.aplisay.com"">playground</a>, look at the results we were able to achieve and where development is likely to go next.</p>"
Skynet: introducing local AI summaries in Jitsi Meet,fosdem-2024-3591-skynet-introducing-local-ai-summaries-in-jitsi-meet,"<p>Ai and LLMs have hit the world by storm in 2023. The allow developers to provide features unattainable before. Today Jitsi is introducing Skynet, our AI core service which summarises meetings, locally, without sending your data anywhere.</p>"
Build your ENUM LCR Server using CGRateS,fosdem-2024-3123-build-your-enum-lcr-server-using-cgrates,"<p>DNS continues to be a significant component of our Internet core and it is no surprise that it has a high adoption rate within the modern telecommunications industry.
In this talk, Arber will guide you through building your own DNS server using NAPTR records to return least cost routes to the DNS client, using only open-source technologies like CGRateS on server side and dig on client one. 
CGRateS is a battle-tested Enterprise Billing Suite and Routing System with support for various prepaid and postpaid billing modes.</p>"
Provide VoLTE/VoNR using OpenSIPS 3.5,fosdem-2024-3614-provide-volte-vonr-using-opensips-3-5,<p>This presentation shows how you can provide VoLTE and/or VoNR in IMS using OpenSIPS as a fully flavored CSCF.</p>
"SemVer in the Rust ecosystem: breakage, tooling, and edge cases",fosdem-2024-2682-semver-in-the-rust-ecosystem-breakage-tooling-and-edge-cases,"<p>In theory, semantic versioning (SemVer) is simple: breaking changes require major versions. SemVer rules do not change over time. Crates always adhere to SemVer. Careful coding is enough to avoid accidental breaking changes.</p>
<p>None of those statements are true!</p>
<p>In practice, SemVer is complex and accidental breakage is common: 1 in 6 of the top 1000 Rust crates has violated semantic versioning at least once, frustrating both users and maintainers alike.</p>
<p>If you write Rust but don't have the time for a PhD in SemVer, this talk is for you. We'll take a practical look at SemVer in Rust: what it buys us, how Rust's features lead to strange SemVer edge cases, and how we can prevent accidental breakage using a SemVer linter called <a href=""https://crates.io/crates/cargo-semver-checks"">cargo-semver-checks</a>.</p>"
Writing your own Rust linter,fosdem-2024-1638-writing-your-own-rust-linter,"<p>This talk will show you how to write your own rust linter using the <code>rustc_tools</code> crate which allows you to have access to the rust compiler API. It can be quite useful if you need specific lints for a project and cannot add them to clippy.</p>
<p>It will explain how the compiler API works and give a small example at the end showing it in action.</p>"
The plan for gccrs,fosdem-2024-2207-the-plan-for-gccrs,"<p><code>gccrs</code> is an alternative implementation of a Rust compiler currently being developed. It
aims to become a fully fledged Rust compiler, and hopes to share as much code as possible
with the official Rust compiler in order to guarantee correctness and avoid damage on the Rust
ecosystem. But how do we plan to integrate Rust components to the GCC codebase, and what sort
of components will we reuse? This talk will explore the future of the project, as well as some
of the challenges surrounding compilers, and the  very silly sounding but real problems of
bootstrapping and dogfooding. We will explore the stack of <code>rustc</code> crates that we leverage,
how we use them together, and how they will play a part once the compiler has advanced further.</p>"
Hardware pointer checks in a Rust application near you?,fosdem-2024-2322-hardware-pointer-checks-in-a-rust-application-near-you-,"<p>This talk presents a case study in taking a security-focused application to the
next level by modifying the Rust compiler to target a capability-based
architecture.</p>
<p>We will discuss CHERI, a system that enables hardware enforcement of safety
constraints at runtime using capabilities, and how we have added support for
CHERI to the Rust compiler in order to improve the security of CyberHive
Connect, an application that implements an end-to-end encrypted mesh network.</p>
<p>Connect can already boast a very high level of security when we consider the
protocols it uses, and we can argue that the application itself has many
potential vulnerabilities eliminated by being written in Rust. However, just
like most real world applications, Connect needs to make use of unsafe code in
areas such as the interface with the underlying operating system. This exposes
an attack surface in the form of code that the compiler can't guarantee will be
safe at runtime.</p>
<p>If, however, we make modifications to the Rust compiler to support transferring
knowledge about pointer provenance, bounds and other access restrictions to
CHERI's capability-based runtime enforcement, then in many cases we should be
able to eliminate the potential for unsafe situations to occur.</p>
<p>This talk will demonstrate what we have managed to achieve in terms of
producing a modified Rust compiler that can target CHERI architectures. We will
give an overview of what problems were solved by doing this and how we worked
towards getting our real world Rust application running on CHERI.</p>"
Proving Performance,fosdem-2024-2571-proving-performance,"<p>Software engineers choose Rust for its safety and performance baseline. Wizards use Rust's dark arts to improve performance by chanting cursed <code>unsafe</code>-yet-sound expressions. Whether you’re an engineer or a wizard, this talk will give you the tools and best practices to correctly measure and explore Rust’s performance claims against your projects. And wizards will learn when the performance benefits are worth risking nasal demons with <code>unsafe</code> code.</p>"
Friend or Foe Inside? Exploring In-Process Isolation to Maintain Memory Safety for Unsafe Rust,fosdem-2024-2632-friend-or-foe-inside-exploring-in-process-isolation-to-maintain-memory-safety-for-unsafe-rust,"<p>Rust provides unsafe language features to interact with hardware or call into non-Rust libraries. However, this shifts responsibility for ensuring memory safety to the developer. Failing to do so may lead to memory-safety violations in unsafe code, which can violate the safety of the entire application. In this talk, we explore in-process isolation with Memory Protection Keys as a mechanism to shield safe program sections from safety violations that may happen in unsafe sections. Our approach is easy to use and comprehensive, as it prevents heap and stack-based violations. We further compare process-based and in-process isolation mechanisms and the necessary requirements for data serialization, communication, and context switching. We specifically explored various Rust serialization crates such as Abomonation and bincode. Our results show that in-process isolation can be effective and efficient, permits for a high degree of automation, and also enables a notion of application rewinding where the safe program section may detect and safely handle violations in unsafe code. However, even for modestly sized arguments, the context switch cost starts to get dominated by the cost of data transfer between domains. Here, the Rust data serialization method used can significantly impact performance and thus, it is crucial to optimize it for the use case at hand.
We open-source our prototype and experimental evaluation data under a BSD license on GitHub: https://secure-rewind-and-discard.github.io/</p>"
The Four Horsemen of Bad Rust Code,fosdem-2024-2434-the-four-horsemen-of-bad-rust-code,"<p>In the right hands, Rust is an exceptionally powerful language. Yet, I frequently observe similar mistakes in Rust programming: treating it like C or Java and not fully utilizing its unique features. I've concluded that poor Rust coding often falls into a few distinct categories, which I've termed the '4 Horsemen of Bad Rust Code': Overengineering, Simplistic Design, Premature Optimization, and Neglect of Documentation and Testing. This talk will delve into these antipatterns and offer strategies to avoid them, aiming to share practical tips for writing more ergonomic and effective Rust code.
During the talk, we will gradually refactor a Rust code example, transforming it from a less optimal version to a more idiomatic and efficient one.</p>"
Introducing Ratatui: A Rust library to cook up terminal user interfaces,fosdem-2024-1934-introducing-ratatui-a-rust-library-to-cook-up-terminal-user-interfaces,"<p>Have you ever wondered how terminal user interface applications are built? Join me in this talk as we explore <a href=""https://github.com/ratatui-org/ratatui"">Ratatui</a> which aims to provide a wide range of widgets to make it possible to design beautiful interfaces and push the limits of the terminal using Rust.</p>"
WASM 101: porting a Sega Game Gear emulator to the browser,fosdem-2024-1691-wasm-101-porting-a-sega-game-gear-emulator-to-the-browser,"<p>I wrote my first emulator while learning Rust. Then, I wanted to make it available on the universal platform, the web. Using WASM, we'll see how to port a desktop app in pure Rust to a webapp using WASM. We'll survey the WASM ecosystem: tools, crates, and share tips and hurdles found along the way.
Most native languages nowadays can be compiled to WASM, and Rust is no exception. Using an emulator written in pure Rust, we'll explore the challenges of porting a desktop Linux app to the web platform. How hard can it be ? Following through the outline of the emulator, we'll go step by step, and expose which crates make that easy, discover how mature is the Rust WASM ecosystem and tools we need to use to port an app.</p>"
A Deep Dive into Tower,fosdem-2024-2703-a-deep-dive-into-tower,"<p>Tower is a crate of “modular and reusable components for building robust networking clients and servers” widely used in prominent projects within the Rust ecosystem, including Hyper*, Axum, or Tonic. This ubiquity means Rust developers invariably engage with the <code>Service</code> trait, Tower's core abstraction, while working with these libraries. Despite its conciseness, reading and understanding code that abstracts over the <code>Service</code> trait proves challenging because of the heavy use of generics and intricacies of implementing non-boxed futures. This complexity raises the learning curve for beginner and intermediate Rust developers to become proficient in their favorite frameworks. In this talk, we will demystify the <code>Service</code> trait, explore practical examples from real-world codebases, and construct increasingly complex Tower layers from scratch.</p>
<p>*Hyper actually relies on its own very similar <code>hyper::Service</code> trait.</p>"
Embedding Servo in Rust projects,fosdem-2024-2321-embedding-servo-in-rust-projects,"<p>Servo project have got a renewed activity since 2023 after a few slow years. One of the goals for this year has been making Servo a practical embeddable rendering engine, making easier to embed it in Rust projects. We’ve already come a long way in this area. A key achievement is our development of a minibrowser, which showcases how the Servo engine can be integrated.</p>
<p>In this talk, the main focus will be on the embedding of Servo. We will dive into the technical aspects of the minibrowser, demonstrating how our developments have streamlined the process of embedding Servo, the challenges we’ve faced, and the solutions we’ve developed. Additionally, we will also talk about the future direction of Servo embedding in Rust projects.</p>"
Thunderbird: How to Exchange Rot For Rust,fosdem-2024-2469-thunderbird-how-to-exchange-rot-for-rust,"<p>Thunderbird has gone through a lot of changes recently, notably through the Supernova release, which was published in the summer of 2023, and is still rapidly evolving. Part of the work we have been doing in the background to enable this evolution is adding support for Rust to the Thunderbird code base.</p>
<p>In this talk, we'll tell the story of how we achieved this and what lessons we learned along the way. We’ll also show how we’re using Rust to both improve the existing code architecture, and build new features for Thunderbird such as support for Microsoft Exchange.</p>"
Fighting cancer with Rust,fosdem-2024-2603-fighting-cancer-with-rust,"<p>Biospecimens and high-quality clinical data are essential for cancer research. At the same time, health data is highly sensitive with regards to data protection, hence, instead of centralizing all the data, federated information systems enable researchers to locate and work with data/biospecimens having certain characteristics, e.g. specimen type, diagnosis, and molecular markers, across hospitals, countries, or even continents. At the German Cancer Research Center (DKFZ), Germany’s largest biomedical research center, we develop, operate, and maintain such national infrastructures in hospitals and biobanks around Germany, Europe and the world, using 100% FLOSS. Recently, we have re-implemented and open-sourced key components in Rust with great benefits towards stability, safety and performance. In particular, we report on Beam, a distributed task broker for efficient communication across strict network environments, and Focus, a federated query dispatcher protecting patient privacy using differential privacy.</p>"
The journey of hacking in a new serde dataformat,fosdem-2024-2420-the-journey-of-hacking-in-a-new-serde-dataformat,"<p>The latest version of <a href=""https://github.com/neo4j-labs/neo4rs""><code>neo4rs</code></a>—a Rust driver for the Neo4j graph database developed under the ""Neo4j Labs"" incubator—changes its API for reading data to use serde. Serde is a library for <em>ser</em>ialization and <em>de</em>serialization of any user-defined type into and from a number of different data formats.
Most material about serde focuses on the user-defined types, though for this talk, I want to present the—still ongoing—journey of building a new <a href=""https://7687.org"">bolt</a> dataformat for serde. Follow me down the rabbit hole and peek under the hood of serde to show how the various types and traits interact, what gotchas and caveats await and how to craft an API that is more than just 1:1 struct &lt;--&gt; data mapping.</p>"
From phone hardware to mobile Linux,fosdem-2024-2234-from-phone-hardware-to-mobile-linux,"<p>An exploration from the chips on the PCB to how Linux makes the phone work.
We'll go into how the hardware and the Linux device tree files are connected, how the different chips communicate, etc.
Things I wish I had learned years ago!</p>"
U-Boot for modern Qualcomm phones,fosdem-2024-1716-u-boot-for-modern-qualcomm-phones,"<p>Bootloaders are one of the biggest pain points when it comes to booting upstream
Linux on Qualcomm devices, they require that distros support 4 versions of the Android
boot image header, weird non-standard devicetree properties, and are
generally a huge headache. As modifying the bootloader is out of the question,
we can at least replace the environment it gives us with a more sensible one.
In this talk, I'll give a brief introduction to what an EFI bootloader actually is,
how they work, and how U-Boot fits into the picture as a second-stage
bootloader. I'll cover the work I've been doing to improve Qualcomm support in
upstream U-Boot, and how we can drastically lower the barrier of entry for
distro support on Qualcomm phones.</p>
<p>Lastly, I'll go over the new process for porting a Qualcomm SoC to U-Boot, and
demo booting Linux with EFI runtime support on a Qualcomm phone.</p>"
"Mainline Linux on Qualcomm SoCs, are we here now ?",fosdem-2024-1707-mainline-linux-on-qualcomm-socs-are-we-here-now-,"<p>Yes, and we’re in pretty good shape!</p>
<p>For the last 10 years, Qualcomm’s engineers and Linaro’s Qualcomm Landing Team has been working hard to carefully implement Linux mainline support for Qualcomm platforms, and so far so good it’s pretty good now as you can judge with the very good Thinkpad X13S support.</p>
<p>Neil will do a tour of all supported platforms, describe the work the Linaro’s Qualcomm Landing Team has achieved so far and the key features engineers are working on.
The Qualcomm SoCs are notoriously very complex and very powerful, and implementing clean, correct, maintainable and extensible support for mainline Linux is particularly hard.
Key domains like Power or DSP management were particularly hard to support, with those in good shape multimedia, connectivity and network features getting enabled permitting Qualcomm based devices to offer excellent support while running vanilla (unmodified) Linux kernel !</p>
<p>The Thinkpad X13S is a great example of such support, because until recently it was limited to expensive and hard to buy Qualcomm Reference platforms.</p>
<p>Nevertheless the Qualcomm Reference platforms also get as early as possible mainline support, without any concessions on code quality, like the Snapdragon 8 Gen 3 mailing-list patches delivered on marketing announcement day.</p>
<p>The talk will propose a tour of supported platforms, current and possible future achievements, and integration examples with mobile distributions like PostmarketOS.</p>"
